1000 3022
199 554 1
460 633 1
387 197 1
21 670 1
255 170 1
206 602 1
87 534 1
367 159 1
161 159 1
566 633 1
385 10 1
621 159 1
659 35 1
6 159 1
154 904 1
201 159 1
101 914 1
814 633 1
633 372 1
869 388 1
633 606 1
355 485 1
164 97 1
39 528 1
424 278 1
444 633 1
199 633 1
254 595 1
697 260 1
789 159 1
604 793 1
328 633 1
786 634 1
633 525 1
477 627 1
210 633 1
352 951 1
731 633 1
759 649 1
722 933 1
41 483 1
207 623 1
548 789 1
827 237 1
919 648 1
371 965 1
406 791 1
404 69 1
251 780 1
670 907 1
960 633 1
969 412 1
416 195 1
851 573 1
253 838 1
546 839 1
633 550 1
467 637 1
218 633 1
123 324 1
973 159 1
455 159 1
633 360 1
346 159 1
675 159 1
633 36 1
983 484 1
431 224 1
753 280 1
482 318 1
517 247 1
625 128 1
729 92 1
209 338 1
553 471 1
472 159 1
152 558 1
807 435 1
633 855 1
908 527 1
971 633 1
579 767 1
633 511 1
926 159 1
244 949 1
136 159 1
633 78 1
253 54 1
182 664 1
721 284 1
987 955 1
301 375 1
698 105 1
631 290 1
329 259 1
633 961 1
717 701 1
328 453 1
164 662 1
448 243 1
442 36 1
63 161 1
633 475 1
827 159 1
633 823 1
465 13 1
911 957 1
644 159 1
239 55 1
804 633 1
797 943 1
629 159 1
633 7 1
762 159 1
274 858 1
618 132 1
213 159 1
938 633 1
294 8 1
633 494 1
31 159 1
131 159 1
298 823 1
513 13 1
163 159 1
633 921 1
633 644 1
633 533 1
927 245 1
633 29 1
633 282 1
522 159 1
414 472 1
245 505 1
847 778 1
207 423 1
633 623 1
121 899 1
633 756 1
499 159 1
218 53 1
381 633 1
274 633 1
21 16 1
486 633 1
948 159 1
828 481 1
618 159 1
631 880 1
579 193 1
779 284 1
376 633 1
220 589 1
274 273 1
256 60 1
633 862 1
174 14 1
633 520 1
894 943 1
731 676 1
940 315 1
692 372 1
185 221 1
580 778 1
264 841 1
764 633 1
993 516 1
839 675 1
699 633 1
915 633 1
261 159 1
334 548 1
633 438 1
673 527 1
633 389 1
309 633 1
8 633 1
679 633 1
737 926 1
167 159 1
493 80 1
305 746 1
682 159 1
599 633 1
85 633 1
633 452 1
502 845 1
155 901 1
373 74 1
104 633 1
304 316 1
633 316 1
762 352 1
523 159 1
841 159 1
633 572 1
745 738 1
150 180 1
633 54 1
633 74 1
998 232 1
165 156 1
5 596 1
1000 589 1
347 345 1
580 770 1
633 131 1
434 633 1
894 937 1
303 159 1
332 714 1
329 457 1
566 159 1
200 633 1
710 849 1
633 774 1
113 843 1
299 956 1
939 300 1
206 156 1
302 607 1
566 950 1
289 633 1
422 633 1
517 159 1
362 622 1
876 75 1
434 990 1
471 159 1
812 633 1
341 159 1
353 633 1
341 721 1
813 243 1
563 151 1
11 615 1
633 725 1
198 422 1
179 929 1
867 339 1
633 516 1
864 97 1
182 307 1
633 209 1
656 868 1
108 203 1
547 159 1
84 529 1
337 159 1
20 663 1
956 292 1
942 991 1
855 132 1
167 157 1
458 633 1
577 60 1
362 960 1
10 869 1
650 129 1
633 604 1
298 818 1
41 633 1
33 862 1
636 633 1
756 393 1
633 917 1
128 159 1
213 487 1
780 714 1
221 159 1
633 276 1
200 901 1
837 244 1
633 589 1
633 430 1
174 860 1
347 456 1
716 132 1
633 484 1
501 47 1
465 159 1
179 159 1
437 159 1
193 159 1
473 633 1
536 375 1
771 633 1
812 107 1
633 600 1
40 578 1
586 475 1
908 719 1
808 304 1
898 790 1
556 787 1
279 740 1
633 43 1
378 385 1
651 26 1
923 471 1
820 60 1
215 159 1
736 400 1
146 633 1
937 159 1
748 159 1
633 685 1
297 159 1
666 276 1
599 477 1
633 367 1
442 633 1
89 159 1
505 109 1
633 851 1
668 807 1
633 464 1
341 935 1
876 955 1
633 845 1
633 565 1
11 356 1
767 159 1
799 159 1
562 633 1
633 863 1
278 991 1
633 147 1
633 191 1
796 944 1
410 24 1
418 138 1
840 250 1
940 868 1
963 818 1
851 215 1
381 205 1
400 159 1
633 481 1
710 745 1
633 262 1
677 159 1
968 159 1
911 754 1
37 369 1
654 16 1
956 50 1
936 159 1
592 361 1
848 904 1
999 216 1
929 247 1
632 428 1
361 159 1
897 195 1
465 329 1
2 574 1
794 633 1
536 170 1
821 159 1
219 633 1
53 159 1
488 159 1
298 940 1
130 159 1
835 950 1
752 49 1
98 159 1
553 159 1
537 504 1
256 633 1
633 375 1
495 223 1
633 616 1
633 783 1
836 669 1
100 332 1
507 159 1
372 914 1
930 819 1
633 61 1
871 356 1
81 678 1
903 159 1
111 364 1
298 633 1
633 534 1
633 267 1
526 633 1
146 708 1
463 290 1
473 100 1
413 159 1
836 865 1
633 87 1
696 784 1
672 148 1
362 159 1
977 882 1
633 264 1
674 633 1
88 352 1
432 364 1
942 159 1
143 120 1
633 730 1
898 110 1
808 575 1
689 863 1
861 633 1
219 159 1
42 633 1
557 844 1
633 922 1
633 630 1
717 16 1
1 159 1
295 676 1
558 159 1
245 772 1
698 516 1
918 681 1
633 512 1
867 681 1
82 159 1
670 633 1
958 663 1
776 748 1
412 159 1
633 471 1
414 633 1
279 210 1
633 6 1
119 159 1
86 633 1
796 423 1
633 142 1
966 159 1
337 126 1
565 419 1
111 832 1
911 619 1
971 159 1
115 951 1
633 959 1
586 633 1
476 633 1
398 726 1
890 748 1
417 159 1
633 470 1
577 159 1
304 575 1
971 279 1
124 633 1
707 159 1
444 236 1
28 159 1
434 730 1
86 907 1
846 159 1
613 159 1
11 504 1
861 312 1
88 633 1
51 75 1
910 159 1
448 918 1
774 284 1
165 734 1
635 239 1
632 159 1
322 633 1
294 6 1
286 262 1
521 593 1
460 949 1
633 180 1
916 955 1
217 734 1
647 43 1
165 756 1
175 159 1
431 24 1
79 633 1
347 832 1
998 159 1
807 159 1
133 159 1
4 556 1
136 818 1
786 906 1
839 370 1
985 292 1
633 928 1
660 547 1
939 878 1
21 633 1
758 633 1
13 811 1
3 901 1
774 159 1
71 610 1
633 167 1
633 220 1
661 159 1
541 633 1
705 49 1
939 364 1
2 875 1
898 51 1
633 242 1
233 303 1
411 437 1
652 165 1
389 159 1
633 305 1
633 158 1
777 20 1
879 159 1
182 159 1
633 71 1
304 474 1
32 633 1
967 391 1
144 543 1
835 633 1
791 159 1
913 84 1
508 880 1
81 614 1
100 912 1
820 103 1
797 160 1
633 109 1
426 633 1
416 178 1
497 697 1
138 159 1
218 880 1
825 216 1
513 582 1
633 391 1
688 263 1
807 506 1
9 187 1
759 89 1
554 228 1
531 633 1
473 413 1
126 860 1
238 246 1
444 397 1
111 633 1
221 633 1
390 633 1
418 626 1
40 112 1
357 633 1
425 3 1
306 675 1
77 633 1
633 116 1
633 872 1
731 88 1
478 159 1
288 468 1
88 159 1
306 141 1
467 772 1
866 260 1
641 633 1
633 569 1
155 633 1
590 319 1
946 944 1
786 878 1
887 156 1
978 747 1
463 633 1
256 159 1
70 784 1
689 306 1
116 159 1
826 889 1
632 732 1
462 907 1
199 722 1
633 554 1
63 633 1
911 633 1
633 394 1
202 633 1
894 507 1
140 159 1
638 159 1
546 105 1
535 159 1
273 633 1
819 984 1
415 664 1
666 708 1
974 633 1
818 744 1
537 776 1
728 118 1
545 633 1
633 848 1
62 159 1
946 220 1
953 568 1
723 159 1
694 204 1
633 275 1
295 568 1
847 159 1
288 409 1
146 48 1
352 602 1
913 865 1
713 633 1
915 698 1
817 368 1
633 895 1
631 162 1
633 816 1
977 481 1
68 601 1
985 159 1
88 223 1
647 520 1
164 159 1
233 159 1
439 159 1
529 159 1
514 706 1
88 363 1
37 633 1
638 633 1
940 633 1
515 822 1
291 406 1
39 159 1
473 207 1
947 543 1
633 607 1
633 435 1
638 866 1
683 633 1
760 383 1
790 159 1
450 964 1
558 633 1
633 903 1
16 633 1
764 159 1
870 159 1
146 620 1
969 828 1
943 675 1
233 633 1
802 282 1
633 916 1
580 920 1
397 769 1
212 54 1
357 46 1
365 58 1
449 139 1
405 633 1
989 887 1
879 857 1
495 963 1
633 355 1
156 159 1
584 559 1
633 932 1
506 159 1
720 633 1
272 159 1
313 633 1
40 48 1
146 147 1
830 425 1
463 159 1
547 633 1
660 773 1
633 92 1
374 701 1
1000 259 1
947 633 1
909 222 1
584 300 1
515 633 1
633 793 1
739 159 1
497 421 1
633 80 1
376 159 1
944 516 1
5 448 1
633 46 1
898 531 1
328 159 1
633 629 1
551 159 1
683 159 1
344 592 1
633 746 1
448 159 1
633 239 1
714 159 1
85 335 1
786 454 1
36 296 1
942 633 1
607 74 1
735 633 1
66 61 1
639 482 1
633 602 1
32 668 1
633 53 1
381 596 1
633 968 1
399 633 1
633 993 1
758 159 1
826 23 1
125 228 1
577 920 1
169 159 1
9 241 1
378 159 1
960 499 1
811 159 1
184 904 1
786 159 1
294 216 1
751 414 1
795 633 1
892 159 1
567 284 1
35 163 1
799 925 1
633 914 1
179 886 1
963 778 1
68 633 1
718 159 1
704 106 1
61 159 1
458 564 1
315 669 1
553 678 1
902 633 1
642 74 1
780 435 1
774 746 1
544 554 1
629 754 1
967 159 1
273 391 1
537 829 1
467 270 1
771 311 1
633 789 1
17 633 1
796 159 1
937 439 1
649 159 1
703 159 1
604 159 1
397 858 1
318 633 1
579 633 1
603 633 1
695 159 1
885 540 1
593 633 1
758 558 1
85 928 1
170 73 1
759 159 1
570 633 1
731 28 1
640 633 1
650 633 1
823 412 1
76 159 1
858 643 1
443 633 1
574 159 1
942 565 1
633 944 1
880 159 1
128 932 1
652 633 1
118 633 1
145 159 1
633 388 1
633 14 1
552 644 1
178 633 1
432 443 1
278 633 1
3 633 1
818 159 1
537 943 1
158 159 1
633 487 1
571 159 1
553 98 1
694 634 1
851 187 1
680 600 1
995 409 1
786 962 1
530 159 1
458 356 1
294 633 1
996 95 1
633 117 1
633 732 1
709 395 1
377 633 1
656 612 1
82 633 1
14 159 1
797 633 1
441 754 1
526 962 1
979 489 1
633 407 1
382 373 1
400 97 1
340 440 1
599 991 1
145 903 1
633 474 1
940 73 1
891 633 1
66 633 1
249 633 1
433 356 1
143 343 1
561 211 1
210 97 1
184 692 1
598 159 1
236 106 1
590 159 1
171 633 1
970 251 1
758 637 1
816 995 1
495 633 1
173 633 1
970 633 1
908 333 1
840 633 1
491 633 1
245 159 1
391 159 1
633 543 1
930 633 1
950 852 1
847 286 1
813 159 1
633 995 1
80 976 1
633 966 1
526 159 1
633 50 1
238 636 1
835 224 1
935 55 1
942 215 1
607 114 1
396 732 1
633 796 1
543 159 1
633 501 1
724 314 1
374 900 1
465 648 1
956 159 1
873 698 1
513 473 1
842 633 1
337 633 1
192 209 1
815 485 1
633 499 1
730 25 1
633 574 1
324 159 1
659 850 1
396 761 1
682 215 1
489 159 1
717 827 1
636 196 1
290 159 1
678 872 1
599 97 1
679 787 1
101 875 1
618 633 1
86 290 1
427 872 1
651 633 1
512 291 1
500 621 1
633 778 1
535 325 1
362 830 1
407 159 1
561 159 1
17 291 1
81 159 1
750 484 1
633 478 1
732 557 1
120 159 1
42 71 1
753 159 1
531 748 1
16 137 1
358 633 1
976 29 1
633 834 1
309 107 1
664 159 1
608 830 1
731 956 1
344 317 1
633 506 1
731 843 1
115 81 1
591 66 1
241 159 1
368 633 1
837 850 1
502 157 1
633 106 1
20 159 1
178 69 1
937 586 1
899 345 1
557 598 1
708 159 1
989 160 1
937 537 1
292 474 1
278 159 1
574 669 1
6 419 1
633 831 1
973 322 1
988 372 1
836 653 1
226 159 1
605 633 1
182 633 1
919 397 1
529 633 1
613 51 1
812 44 1
210 246 1
633 128 1
909 264 1
834 159 1
525 439 1
1 633 1
254 633 1
23 302 1
710 633 1
633 925 1
938 945 1
640 76 1
633 617 1
85 466 1
989 633 1
902 83 1
608 633 1
788 159 1
341 633 1
40 498 1
633 477 1
633 193 1
276 92 1
633 22 1
992 633 1
143 982 1
849 643 1
456 159 1
636 174 1
552 4 1
40 921 1
633 645 1
737 445 1
927 647 1
870 633 1
8 568 1
57 700 1
980 633 1
633 649 1
190 93 1
685 955 1
347 633 1
517 633 1
842 503 1
200 358 1
824 430 1
164 225 1
983 245 1
329 359 1
535 117 1
996 315 1
404 159 1
633 335 1
889 749 1
499 626 1
876 251 1
633 610 1
233 52 1
431 633 1
940 159 1
466 435 1
488 543 1
157 114 1
889 612 1
599 159 1
633 456 1
633 287 1
382 159 1
112 868 1
528 280 1
46 191 1
346 633 1
199 699 1
142 846 1
418 633 1
486 4 1
709 633 1
370 484 1
40 49 1
898 827 1
594 159 1
199 749 1
737 860 1
822 818 1
459 550 1
644 789 1
426 614 1
169 527 1
633 665 1
728 680 1
1 677 1
399 159 1
873 633 1
744 375 1
75 180 1
974 105 1
84 617 1
861 293 1
633 661 1
121 307 1
334 159 1
330 746 1
39 945 1
968 228 1
211 732 1
893 753 1
486 916 1
606 607 1
633 406 1
448 883 1
549 181 1
633 227 1
717 633 1
183 881 1
391 881 1
442 671 1
236 159 1
760 326 1
655 834 1
326 159 1
323 284 1
219 342 1
633 832 1
18 747 1
443 372 1
127 159 1
102 58 1
414 72 1
929 642 1
142 159 1
293 596 1
527 981 1
877 617 1
972 352 1
141 633 1
998 633 1
559 524 1
633 20 1
633 91 1
539 633 1
494 191 1
684 159 1
826 159 1
633 590 1
682 58 1
937 633 1
249 967 1
304 159 1
432 159 1
869 159 1
581 127 1
469 551 1
309 159 1
585 176 1
736 384 1
672 226 1
583 510 1
848 419 1
87 227 1
633 716 1
907 159 1
11 633 1
380 722 1
854 869 1
641 6 1
914 846 1
90 396 1
977 633 1
781 914 1
979 399 1
458 854 1
928 159 1
248 916 1
362 280 1
828 159 1
122 159 1
94 961 1
614 589 1
532 900 1
504 926 1
736 657 1
381 922 1
402 159 1
879 633 1
403 159 1
414 366 1
142 170 1
743 10 1
464 538 1
633 345 1
587 880 1
699 725 1
835 883 1
810 643 1
466 159 1
233 114 1
461 633 1
919 159 1
667 49 1
350 332 1
199 33 1
424 548 1
633 708 1
474 159 1
633 785 1
697 159 1
957 633 1
888 633 1
624 355 1
298 159 1
669 24 1
513 904 1
553 606 1
443 159 1
586 857 1
84 351 1
614 159 1
313 845 1
985 123 1
113 172 1
780 511 1
80 159 1
265 159 1
973 877 1
213 50 1
633 223 1
278 732 1
633 181 1
819 633 1
981 575 1
759 226 1
480 575 1
633 135 1
422 159 1
913 633 1
633 765 1
837 159 1
664 672 1
457 882 1
633 409 1
288 565 1
633 243 1
633 571 1
724 633 1
339 166 1
633 114 1
525 159 1
351 633 1
835 970 1
288 963 1
653 809 1
553 124 1
447 989 1
528 784 1
655 915 1
499 730 1
628 549 1
972 971 1
879 408 1
91 159 1
257 633 1
36 159 1
294 723 1
970 159 1
988 565 1
773 237 1
992 159 1
136 403 1
405 322 1
703 950 1
906 918 1
942 686 1
633 906 1
633 901 1
633 500 1
855 159 1
828 300 1
633 349 1
192 159 1
82 57 1
457 762 1
50 809 1
919 633 1
340 633 1
76 206 1
396 232 1
651 466 1
389 964 1
633 436 1
722 159 1
67 24 1
864 96 1
70 633 1
633 744 1
824 633 1
662 697 1
891 24 1
660 159 1
217 49 1
547 554 1
692 780 1
893 633 1
584 668 1
633 384 1
633 868 1
822 633 1
95 359 1
63 159 1
599 367 1
119 36 1
878 159 1
478 596 1
330 418 1
322 620 1
944 349 1
435 550 1
633 801 1
671 445 1
546 300 1
725 663 1
618 57 1
675 643 1
717 159 1
369 159 1
257 159 1
382 775 1
908 633 1
293 791 1
861 977 1
65 155 1
279 633 1
633 315 1
995 159 1
171 501 1
631 633 1
385 159 1
705 159 1
633 750 1
304 59 1
699 313 1
633 89 1
815 633 1
741 633 1
613 162 1
297 551 1
833 231 1
880 633 1
574 237 1
633 73 1
952 532 1
336 633 1
972 793 1
742 633 1
906 159 1
679 159 1
274 202 1
605 108 1
997 633 1
633 810 1
537 159 1
633 319 1
309 984 1
633 400 1
200 657 1
458 159 1
557 159 1
889 633 1
633 866 1
996 772 1
611 496 1
32 425 1
513 95 1
633 821 1
253 633 1
814 271 1
606 159 1
143 568 1
633 722 1
140 633 1
113 133 1
814 996 1
641 833 1
666 780 1
898 633 1
103 823 1
891 372 1
75 159 1
976 159 1
588 499 1
948 412 1
690 615 1
153 633 1
989 761 1
936 633 1
346 211 1
633 356 1
633 314 1
154 633 1
212 633 1
943 165 1
354 167 1
558 990 1
168 159 1
633 327 1
648 745 1
149 159 1
523 910 1
447 532 1
587 438 1
633 899 1
939 633 1
798 290 1
633 285 1
29 450 1
880 661 1
805 159 1
107 183 1
507 633 1
564 633 1
978 159 1
586 483 1
289 71 1
33 159 1
330 633 1
940 217 1
188 845 1
434 159 1
296 408 1
76 382 1
744 159 1
928 359 1
511 108 1
893 159 1
689 737 1
615 159 1
700 159 1
826 807 1
827 394 1
567 159 1
742 159 1
175 633 1
466 252 1
633 156 1
633 331 1
633 776 1
278 763 1
731 584 1
172 159 1
450 627 1
177 159 1
44 633 1
347 120 1
680 633 1
727 159 1
539 567 1
760 478 1
694 287 1
633 740 1
216 159 1
633 97 1
52 159 1
660 633 1
633 244 1
633 753 1
32 457 1
821 14 1
927 633 1
972 513 1
846 388 1
860 159 1
443 320 1
655 846 1
779 535 1
779 159 1
633 170 1
247 159 1
939 118 1
743 33 1
636 159 1
365 477 1
486 615 1
585 787 1
321 159 1
678 159 1
948 740 1
481 159 1
550 159 1
807 872 1
929 748 1
870 731 1
713 762 1
770 748 1
183 159 1
859 725 1
158 789 1
123 633 1
220 615 1
385 204 1
90 633 1
633 395 1
98 389 1
378 778 1
493 633 1
621 571 1
802 811 1
824 332 1
521 633 1
839 984 1
483 864 1
455 273 1
153 578 1
901 511 1
236 860 1
222 582 1
350 192 1
253 159 1
953 159 1
867 159 1
380 476 1
584 633 1
416 945 1
633 555 1
576 489 1
249 159 1
368 603 1
358 133 1
633 627 1
578 159 1
833 633 1
563 159 1
694 436 1
737 633 1
40 570 1
269 986 1
5 97 1
62 249 1
184 633 1
472 536 1
266 159 1
587 159 1
126 439 1
894 842 1
633 844 1
611 633 1
100 244 1
773 25 1
150 172 1
878 696 1
633 49 1
654 159 1
362 217 1
697 55 1
546 633 1
255 581 1
480 663 1
184 159 1
625 159 1
362 408 1
782 43 1
77 666 1
782 633 1
527 773 1
401 863 1
385 69 1
633 747 1
365 159 1
633 596 1
374 159 1
22 159 1
744 690 1
939 139 1
198 151 1
388 159 1
633 421 1
526 941 1
66 96 1
529 506 1
435 159 1
784 98 1
633 94 1
300 159 1
633 321 1
670 12 1
318 159 1
911 159 1
854 633 1
831 223 1
539 774 1
392 159 1
992 872 1
988 633 1
3 159 1
633 266 1
173 363 1
390 53 1
974 187 1
73 159 1
114 223 1
332 904 1
162 633 1
79 977 1
698 245 1
623 31 1
908 98 1
608 159 1
238 239 1
821 181 1
562 634 1
523 573 1
726 159 1
781 711 1
975 690 1
209 159 1
669 159 1
600 159 1
958 421 1
689 983 1
633 213 1
576 492 1
906 247 1
536 550 1
633 560 1
726 445 1
72 633 1
633 280 1
846 459 1
633 208 1
679 272 1
885 159 1
633 843 1
501 955 1
581 633 1
831 845 1
974 610 1
922 159 1
614 220 1
773 633 1
633 197 1
633 34 1
792 629 1
309 214 1
824 345 1
42 894 1
755 633 1
402 246 1
854 159 1
817 167 1
306 94 1
454 633 1
367 345 1
201 514 1
514 363 1
778 36 1
593 573 1
120 626 1
494 159 1
580 159 1
244 159 1
996 950 1
339 748 1
236 665 1
119 633 1
345 159 1
633 102 1
884 774 1
52 987 1
103 902 1
579 441 1
814 605 1
633 183 1
87 375 1
633 791 1
217 722 1
633 195 1
474 291 1
545 955 1
633 338 1
290 126 1
704 435 1
67 951 1
895 858 1
633 311 1
633 370 1
816 721 1
859 633 1
512 848 1
941 352 1
501 159 1
633 361 1
240 633 1
437 793 1
176 159 1
381 159 1
808 509 1
380 633 1
96 669 1
633 232 1
836 922 1
688 633 1
361 102 1
962 159 1
807 450 1
167 875 1
790 633 1
381 104 1
210 187 1
673 633 1
716 500 1
770 159 1
365 714 1
48 470 1
406 159 1
667 934 1
864 901 1
633 462 1
323 159 1
633 583 1
667 159 1
289 159 1
96 197 1
946 169 1
581 982 1
692 822 1
156 601 1
82 556 1
864 633 1
483 633 1
890 575 1
647 159 1
448 633 1
876 633 1
633 247 1
496 947 1
237 107 1
969 113 1
398 633 1
835 280 1
307 194 1
633 594 1
633 48 1
958 6 1
416 633 1
328 231 1
653 159 1
482 543 1
633 748 1
172 912 1
177 739 1
393 601 1
530 69 1
446 91 1
633 557 1
911 445 1
999 159 1
919 986 1
431 573 1
877 644 1
633 875 1
93 633 1
633 250 1
292 272 1
879 401 1
162 514 1
365 452 1
771 159 1
633 792 1
662 446 1
643 557 1
172 332 1
883 159 1
720 74 1
643 159 1
256 529 1
104 893 1
833 575 1
376 807 1
383 203 1
890 239 1
482 159 1
222 563 1
780 900 1
633 47 1
674 347 1
337 636 1
633 12 1
22 148 1
633 987 1
838 159 1
609 633 1
934 633 1
969 843 1
748 269 1
918 600 1
913 159 1
666 303 1
106 159 1
729 24 1
410 633 1
25 159 1
939 271 1
633 881 1
165 159 1
694 622 1
450 862 1
230 387 1
670 159 1
633 359 1
102 459 1
329 151 1
3 637 1
508 633 1
757 373 1
707 633 1
682 633 1
878 633 1
685 159 1
641 567 1
115 126 1
66 780 1
240 170 1
168 633 1
940 579 1
826 633 1
633 622 1
659 633 1
451 774 1
985 920 1
889 871 1
786 644 1
820 472 1
530 611 1
633 982 1
909 100 1
777 633 1
633 990 1
467 633 1
500 544 1
633 411 1
705 633 1
275 55 1
662 633 1
573 331 1
362 633 1
119 323 1
322 994 1
433 262 1
234 658 1
873 767 1
121 674 1
633 900 1
473 168 1
633 230 1
760 633 1
633 320 1
85 363 1
888 616 1
51 633 1
23 595 1
500 159 1
633 459 1
908 159 1
364 633 1
633 308 1
433 994 1
587 216 1
979 633 1
362 337 1
217 633 1
1000 159 1
684 296 1
975 159 1
109 159 1
443 428 1
361 630 1
200 133 1
356 395 1
633 151 1
739 633 1
631 882 1
281 215 1
344 979 1
548 31 1
743 159 1
633 261 1
633 964 1
433 633 1
583 401 1
718 440 1
633 761 1
776 159 1
136 633 1
867 633 1
911 116 1
103 159 1
633 869 1
597 243 1
760 289 1
692 323 1
186 633 1
761 406 1
638 738 1
291 159 1
633 945 1
618 596 1
833 789 1
69 633 1
216 223 1
343 633 1
263 633 1
537 496 1
586 991 1
133 965 1
581 802 1
314 159 1
698 393 1
377 159 1
385 633 1
463 658 1
251 237 1
23 30 1
633 393 1
633 58 1
633 933 1
330 957 1
169 633 1
397 844 1
139 633 1
337 194 1
563 767 1
764 654 1
903 181 1
120 97 1
633 126 1
958 548 1
492 159 1
946 774 1
937 754 1
612 159 1
33 633 1
21 661 1
186 342 1
565 216 1
262 159 1
654 633 1
64 788 1
38 244 1
412 108 1
78 159 1
819 664 1
299 633 1
843 910 1
826 788 1
799 927 1
317 223 1
158 216 1
258 220 1
680 159 1
773 732 1
633 818 1
333 395 1
414 163 1
175 805 1
158 740 1
989 641 1
727 633 1
633 549 1
827 574 1
948 773 1
647 58 1
913 570 1
214 191 1
638 383 1
233 951 1
431 114 1
622 844 1
9 224 1
103 633 1
249 742 1
751 159 1
925 403 1
744 208 1
614 78 1
895 220 1
697 633 1
587 821 1
795 159 1
221 196 1
16 159 1
66 627 1
524 159 1
501 801 1
54 159 1
675 314 1
881 159 1
482 633 1
790 901 1
981 159 1
808 536 1
999 471 1
641 302 1
322 159 1
530 85 1
43 159 1
671 706 1
553 724 1
381 531 1
643 36 1
735 159 1
885 787 1
145 633 1
919 964 1
353 159 1
687 783 1
763 634 1
177 697 1
386 238 1
342 159 1
720 928 1
818 951 1
463 840 1
668 633 1
33 183 1
633 788 1
279 370 1
633 120 1
637 159 1
425 67 1
807 630 1
89 736 1
429 857 1
923 159 1
975 633 1
829 326 1
306 633 1
852 159 1
586 961 1
166 633 1
633 745 1
831 568 1
283 633 1
344 528 1
